Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:50:28      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:50:29     1000     87942    1.00    1.00    0.00    0.00    2.00    16  qemu-system-x86
23:50:30     1000     87942    1.00    0.00    1.00    0.00    2.00     1  qemu-system-x86
23:50:31     1000     87942    1.00    0.00    0.00    0.00    1.00    23  qemu-system-x86
23:50:32     1000     87942    0.00    0.00    1.00    0.00    1.00     1  qemu-system-x86
23:50:33     1000     87942    1.00    0.00    0.00    0.00    1.00    22  qemu-system-x86
23:50:34     1000     87942    0.00    0.00    1.00    0.00    1.00     7  qemu-system-x86
23:50:35     1000     87942    1.00    0.00    0.00    0.00    1.00     5  qemu-system-x86
23:50:36     1000     87942    1.00    0.00    1.00    0.00    2.00    17  qemu-system-x86
23:50:37     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:50:38     1000     87942    0.00    1.00    1.00    0.00    2.00    21  qemu-system-x86
23:50:39     1000     87942    0.00    0.00    1.00    0.00    1.00     1  qemu-system-x86
23:50:40     1000     87942    0.00    0.00    1.00    0.00    1.00    16  qemu-system-x86
23:50:41     1000     87942    1.00    0.00    1.00    0.00    2.00     7  qemu-system-x86
Average:     1000     87942    0.62    0.15    0.62    0.00    1.38     -  qemu-system-x86
