Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:47:21      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:47:22     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:23     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:24     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:25     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:26     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:27     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:28     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:29     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:30     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:31     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:32     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:33     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
23:47:34     1000    103532    0.00    0.00    0.00    0.00    0.00    25  daemon
Average:     1000    103532    0.00    0.00    0.00    0.00    0.00     -  daemon
