Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:42:17      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:42:18     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:19     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:20     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:21     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:22     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:23     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:24     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:25     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:26     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:27     1000    102681    0.00    1.00    0.00    0.00    1.00    17  daemon
23:42:28     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:29     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
23:42:30     1000    102681    0.00    0.00    0.00    0.00    0.00    17  daemon
Average:     1000    102681    0.00    0.08    0.00    0.00    0.08     -  daemon
