Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:41:03      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:41:04     1000     87942    0.00    0.00    1.00    0.00    1.00    16  qemu-system-x86
23:41:05     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:41:06     1000     87942    1.00    1.00    0.00    0.00    2.00     1  qemu-system-x86
23:41:07     1000     87942    2.00    0.00    0.00    0.00    2.00     0  qemu-system-x86
23:41:08     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:41:09     1000     87942    1.00    0.00    0.00    0.00    1.00    11  qemu-system-x86
23:41:10     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:41:11     1000     87942    1.00    0.00    1.00    0.00    2.00    16  qemu-system-x86
23:41:12     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:41:13     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:41:14     1000     87942    1.00    0.00    1.00    0.00    2.00    22  qemu-system-x86
23:41:15     1000     87942    1.00    0.00    0.00    0.00    1.00    22  qemu-system-x86
23:41:16     1000     87942    1.00    1.00    0.00    1.00    2.00     1  qemu-system-x86
Average:     1000     87942    1.00    0.15    0.23    0.08    1.38     -  qemu-system-x86
