Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:41:47      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:41:48     1000     87942    0.00    0.00    1.00    0.00    1.00    18  qemu-system-x86
23:41:49     1000     87942    1.00    0.00    0.00    0.00    1.00     6  qemu-system-x86
23:41:50     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:41:51     1000     87942    2.00    1.00    0.00    0.00    3.00     7  qemu-system-x86
23:41:52     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:41:53     1000     87942    0.00    0.00    1.00    0.00    1.00     0  qemu-system-x86
23:41:54     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:41:55     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:41:56     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:41:57     1000     87942    2.00    0.00    0.00    0.00    2.00    17  qemu-system-x86
23:41:58     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:41:59     1000     87942    1.00    1.00    0.00    0.00    2.00    17  qemu-system-x86
23:42:00     1000     87942    0.00    0.00    1.00    0.00    1.00     0  qemu-system-x86
Average:     1000     87942    0.92    0.15    0.23    0.00    1.31     -  qemu-system-x86
