Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:42:30      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:42:31     1000     87942    1.00    0.00    0.00    0.00    1.00     2  qemu-system-x86
23:42:32     1000     87942    1.00    0.00    0.00    0.00    1.00     5  qemu-system-x86
23:42:33     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:42:34     1000     87942    1.00    1.00    0.00    0.00    2.00    23  qemu-system-x86
23:42:35     1000     87942    1.00    0.00    1.00    0.00    2.00     1  qemu-system-x86
23:42:36     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:42:37     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:42:38     1000     87942    2.00    0.00    0.00    0.00    2.00    18  qemu-system-x86
23:42:39     1000     87942    0.00    0.00    1.00    0.00    1.00     0  qemu-system-x86
23:42:40     1000     87942    1.00    0.00    0.00    0.00    1.00    18  qemu-system-x86
23:42:41     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:42:42     1000     87942    1.00    0.00    1.00    0.00    2.00     1  qemu-system-x86
23:42:43     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
Average:     1000     87942    1.00    0.08    0.23    0.00    1.31     -  qemu-system-x86
