Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:40:20      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:40:21     1000     87942    2.00    0.00    0.00    0.00    2.00    16  qemu-system-x86
23:40:22     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:40:23     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:40:24     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:40:25     1000     87942    0.00    0.00    1.00    0.00    1.00     7  qemu-system-x86
23:40:26     1000     87942    2.00    0.00    0.00    0.00    2.00    16  qemu-system-x86
23:40:27     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:40:28     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:40:29     1000     87942    2.00    0.00    0.00    0.00    2.00    17  qemu-system-x86
23:40:30     1000     87942    0.00    0.00    1.00    0.00    1.00     0  qemu-system-x86
23:40:31     1000     87942    1.00    0.00    0.00    0.00    1.00    18  qemu-system-x86
23:40:32     1000     87942    1.00    1.00    0.00    0.00    2.00     0  qemu-system-x86
23:40:33     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
Average:     1000     87942    1.08    0.08    0.15    0.00    1.31     -  qemu-system-x86
