Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:40:07      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:40:08     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:09     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:10     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:11     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:12     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:13     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:14     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:15     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:16     1000    102366    0.00    1.00    0.00    0.00    1.00     1  daemon
23:40:17     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:18     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:19     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
23:40:20     1000    102366    0.00    0.00    0.00    0.00    0.00     1  daemon
Average:     1000    102366    0.00    0.08    0.00    0.00    0.08     -  daemon
