Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:48:18      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:48:19     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:48:20     1000     87942    2.00    0.00    0.00    0.00    2.00     4  qemu-system-x86
23:48:21     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:48:22     1000     87942    0.00    0.00    1.00    0.00    1.00    25  qemu-system-x86
23:48:23     1000     87942    2.00    0.00    0.00    0.00    2.00    16  qemu-system-x86
23:48:24     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:48:25     1000     87942    1.00    0.00    0.00    0.00    1.00     4  qemu-system-x86
23:48:26     1000     87942    0.00    0.00    1.00    0.00    1.00    16  qemu-system-x86
23:48:27     1000     87942    2.00    1.00    0.00    0.00    3.00     4  qemu-system-x86
23:48:28     1000     87942    1.00    0.00    0.00    0.00    1.00    20  qemu-system-x86
23:48:29     1000     87942    1.00    0.00    0.00    0.00    1.00    18  qemu-system-x86
23:48:30     1000     87942    1.00    0.00    1.00    0.00    2.00     1  qemu-system-x86
23:48:31     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
Average:     1000     87942    1.08    0.08    0.23    0.00    1.38     -  qemu-system-x86
