Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:38:53      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:38:54     1000     87942    1.00    0.00    0.00    0.00    1.00    22  qemu-system-x86
23:38:55     1000     87942    0.00    0.00    1.00    0.00    1.00     1  qemu-system-x86
23:38:56     1000     87942    2.00    1.00    0.00    0.00    3.00     4  qemu-system-x86
23:38:57     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:38:58     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:38:59     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:39:00     1000     87942    1.00    0.00    1.00    0.00    2.00     5  qemu-system-x86
23:39:01     1000     87942    1.00    0.00    0.00    0.00    1.00     5  qemu-system-x86
23:39:02     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:39:03     1000     87942    2.00    0.00    0.00    0.00    2.00    16  qemu-system-x86
23:39:04     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:39:05     1000     87942    0.00    0.00    1.00    0.00    1.00     1  qemu-system-x86
23:39:06     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
Average:     1000     87942    1.00    0.08    0.23    0.00    1.31     -  qemu-system-x86
