Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:48:05      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:48:06     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:07     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:08     1000    103614    0.00    1.00    0.00    0.00    1.00    23  daemon
23:48:09     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:10     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:11     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:12     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:13     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:14     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:15     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:16     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:17     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
23:48:18     1000    103614    0.00    0.00    0.00    0.00    0.00    23  daemon
Average:     1000    103614    0.00    0.08    0.00    0.00    0.08     -  daemon
