Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:44:27      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:44:28     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:29     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:30     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:31     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:32     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:33     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:34     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:35     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:36     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:37     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:38     1000    103063    1.00    0.00    0.00    0.00    1.00    18  daemon
23:44:39     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
23:44:40     1000    103063    0.00    0.00    0.00    0.00    0.00    18  daemon
Average:     1000    103063    0.08    0.00    0.00    0.00    0.08     -  daemon
