Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:46:07      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:46:08     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:46:09     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:46:10     1000     87942    1.00    0.00    1.00    0.00    2.00    17  qemu-system-x86
23:46:11     1000     87942    1.00    0.00    0.00    0.00    1.00    23  qemu-system-x86
23:46:12     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:46:13     1000     87942    2.00    0.00    0.00    0.00    2.00     6  qemu-system-x86
23:46:14     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:46:15     1000     87942    0.00    1.00    1.00    0.00    2.00     1  qemu-system-x86
23:46:16     1000     87942    2.00    0.00    0.00    0.00    2.00     1  qemu-system-x86
23:46:17     1000     87942    1.00    0.00    0.00    1.00    1.00    21  qemu-system-x86
23:46:18     1000     87942    0.99    0.00    0.00    0.00    0.99    21  qemu-system-x86
23:46:19     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:46:20     1000     87942    2.00    0.00    0.00    0.00    2.00     0  qemu-system-x86
Average:     1000     87942    1.15    0.08    0.15    0.08    1.38     -  qemu-system-x86
