Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:49:31      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:49:32     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:33     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:34     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:35     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:36     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:37     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:38     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:39     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:40     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:41     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:42     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
23:49:43     1000    103808    0.00    1.00    0.00    0.00    1.00    17  daemon
23:49:44     1000    103808    0.00    0.00    0.00    0.00    0.00    17  daemon
Average:     1000    103808    0.00    0.08    0.00    0.00    0.08     -  daemon
