Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:45:54      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:45:55     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:45:56     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:45:57     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:45:58     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:45:59     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:46:00     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:46:01     1000    103313    1.00    0.00    0.00    0.00    1.00    16  daemon
23:46:02     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:46:03     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:46:04     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:46:05     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:46:06     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
23:46:07     1000    103313    0.00    0.00    0.00    0.00    0.00    16  daemon
Average:     1000    103313    0.08    0.00    0.00    0.00    0.08     -  daemon
