Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:39:36      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:39:37     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:39:38     1000     87942    1.00    0.00    0.00    0.00    1.00    18  qemu-system-x86
23:39:39     1000     87942    0.00    0.00    1.00    0.00    1.00    17  qemu-system-x86
23:39:40     1000     87942    2.00    1.00    0.00    0.00    3.00     7  qemu-system-x86
23:39:41     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:39:42     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:39:43     1000     87942    0.00    0.00    1.00    0.00    1.00    16  qemu-system-x86
23:39:44     1000     87942    2.00    0.00    0.00    0.00    2.00    17  qemu-system-x86
23:39:45     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:39:46     1000     87942    1.00    0.00    0.00    0.00    1.00     2  qemu-system-x86
23:39:47     1000     87942    0.00    0.00    1.00    0.00    1.00     6  qemu-system-x86
23:39:48     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:39:49     1000     87942    2.00    0.00    0.00    0.00    2.00     7  qemu-system-x86
Average:     1000     87942    1.00    0.08    0.23    0.00    1.31     -  qemu-system-x86
