Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:43:57      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:43:58     1000     87942    1.00    0.00    0.00    0.00    1.00    21  qemu-system-x86
23:43:59     1000     87942    1.00    0.00    0.00    0.00    1.00     6  qemu-system-x86
23:44:00     1000     87942    2.00    0.00    0.00    0.00    2.00     7  qemu-system-x86
23:44:01     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:44:02     1000     87942    0.00    0.00    1.00    0.00    1.00    16  qemu-system-x86
23:44:03     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:44:04     1000     87942    1.00    1.00    0.00    0.00    2.00    17  qemu-system-x86
23:44:05     1000     87942    1.00    0.00    0.00    0.00    1.00     3  qemu-system-x86
23:44:06     1000     87942    1.00    0.00    0.00    0.00    1.00     4  qemu-system-x86
23:44:07     1000     87942    2.00    0.00    0.00    0.00    2.00     7  qemu-system-x86
23:44:08     1000     87942    2.00    0.00    0.00    0.00    2.00     2  qemu-system-x86
23:44:09     1000     87942    1.00    1.00    1.00    1.00    3.00    22  qemu-system-x86
23:44:10     1000     87942    2.00    0.00    0.00    0.00    2.00    11  qemu-system-x86
Average:     1000     87942    1.23    0.15    0.15    0.08    1.54     -  qemu-system-x86
