Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:44:40      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:44:41     1000     87942    2.00    1.00    0.00    0.00    3.00    29  qemu-system-x86
23:44:42     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:44:43     1000     87942    2.00    0.00    0.00    0.00    2.00    17  qemu-system-x86
23:44:44     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:44:45     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:44:46     1000     87942    2.00    0.00    0.00    0.00    2.00    16  qemu-system-x86
23:44:47     1000     87942    0.00    0.00    1.00    0.00    1.00    16  qemu-system-x86
23:44:48     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:44:49     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:44:50     1000     87942    2.00    0.00    0.00    0.00    2.00     7  qemu-system-x86
23:44:51     1000     87942    1.00    1.00    0.00    0.00    2.00     0  qemu-system-x86
23:44:52     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:44:53     1000     87942    0.00    0.00    1.00    0.00    1.00    11  qemu-system-x86
Average:     1000     87942    1.15    0.15    0.15    0.00    1.46     -  qemu-system-x86
