Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:47:34      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:47:35     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:47:36     1000     87942    1.00    0.00    1.00    0.00    2.00     7  qemu-system-x86
23:47:37     1000     87942    1.00    0.00    0.00    0.00    1.00     5  qemu-system-x86
23:47:38     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:47:39     1000     87942    2.00    0.00    0.00    0.00    2.00     7  qemu-system-x86
23:47:40     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:47:41     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:47:42     1000     87942    1.00    0.00    0.00    0.00    1.00     6  qemu-system-x86
23:47:43     1000     87942    0.00    0.00    1.00    0.00    1.00     1  qemu-system-x86
23:47:44     1000     87942    2.00    0.00    0.00    0.00    2.00     0  qemu-system-x86
23:47:45     1000     87942    1.00    0.00    0.00    0.00    1.00     6  qemu-system-x86
23:47:46     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:47:47     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
Average:     1000     87942    1.08    0.00    0.15    0.00    1.23     -  qemu-system-x86
