Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:46:51      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:46:52     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:46:53     1000     87942    1.00    0.00    1.00    0.00    2.00     2  qemu-system-x86
23:46:54     1000     87942    0.00    0.00    1.00    0.00    1.00     1  qemu-system-x86
23:46:55     1000     87942    0.00    1.00    1.00    0.00    2.00     2  qemu-system-x86
23:46:56     1000     87942    0.00    0.00    1.00    0.00    1.00     2  qemu-system-x86
23:46:57     1000     87942    0.00    0.00    1.00    0.00    1.00    17  qemu-system-x86
23:46:58     1000     87942    2.00    0.00    0.00    0.00    2.00     7  qemu-system-x86
23:46:59     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:47:00     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:47:01     1000     87942    2.00    0.00    0.00    0.00    2.00     7  qemu-system-x86
23:47:02     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:47:03     1000     87942    0.00    0.00    1.00    0.00    1.00    13  qemu-system-x86
23:47:04     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
Average:     1000     87942    0.77    0.08    0.46    0.00    1.31     -  qemu-system-x86
