Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:51:12      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:51:13     1000     87942    2.00    0.00    0.00    0.00    2.00     7  qemu-system-x86
23:51:14     1000     87942    0.00    0.00    1.00    0.00    1.00    17  qemu-system-x86
23:51:15     1000     87942    1.00    0.00    0.00    0.00    1.00    15  qemu-system-x86
23:51:16     1000     87942    2.00    0.00    0.00    0.00    2.00     1  qemu-system-x86
23:51:17     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:51:18     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:51:19     1000     87942    1.00    1.00    0.00    0.00    2.00     2  qemu-system-x86
23:51:20     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:51:21     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:51:22     1000     87942    2.00    0.00    0.00    0.00    2.00    17  qemu-system-x86
23:51:23     1000     87942    0.00    0.00    1.00    0.00    1.00     7  qemu-system-x86
23:51:24     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:51:25     1000     87942    1.00    0.00    0.00    0.00    1.00     5  qemu-system-x86
Average:     1000     87942    1.08    0.08    0.15    0.00    1.31     -  qemu-system-x86
