Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:49:01      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:49:02     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:49:03     1000     87942    1.00    0.00    1.00    0.00    2.00     4  qemu-system-x86
23:49:04     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:49:05     1000     87942    1.00    0.00    0.00    0.00    1.00     3  qemu-system-x86
23:49:06     1000     87942    2.00    0.00    0.00    0.00    2.00     0  qemu-system-x86
23:49:07     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:49:08     1000     87942    1.00    0.00    0.00    0.00    1.00     2  qemu-system-x86
23:49:09     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:49:10     1000     87942    2.00    0.00    0.00    0.00    2.00     1  qemu-system-x86
23:49:11     1000     87942    1.00    0.00    1.00    0.00    2.00     1  qemu-system-x86
23:49:12     1000     87942    1.00    1.00    0.00    0.00    2.00    17  qemu-system-x86
23:49:13     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:49:14     1000     87942    0.00    0.00    1.00    0.00    1.00    17  qemu-system-x86
Average:     1000     87942    1.08    0.08    0.23    0.00    1.38     -  qemu-system-x86
