Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:45:24      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:45:25     1000     87942    1.00    1.00    0.00    0.00    2.00     1  qemu-system-x86
23:45:26     1000     87942    2.00    0.00    0.00    0.00    2.00    16  qemu-system-x86
23:45:27     1000     87942    1.00    0.00    0.00    0.00    1.00     2  qemu-system-x86
23:45:28     1000     87942    0.00    0.00    1.00    0.00    1.00     5  qemu-system-x86
23:45:29     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:45:30     1000     87942    1.00    0.00    0.00    0.00    1.00    25  qemu-system-x86
23:45:31     1000     87942    2.00    0.00    0.00    0.00    2.00     7  qemu-system-x86
23:45:32     1000     87942    0.00    0.00    1.00    0.00    1.00     2  qemu-system-x86
23:45:33     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:45:34     1000     87942    2.00    0.00    0.00    0.00    2.00     4  qemu-system-x86
23:45:35     1000     87942    1.00    0.00    0.00    0.00    1.00     2  qemu-system-x86
23:45:36     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:45:37     1000     87942    0.00    0.00    1.00    0.00    1.00    16  qemu-system-x86
Average:     1000     87942    1.00    0.08    0.23    0.00    1.31     -  qemu-system-x86
