Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:43:44      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:43:45     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:46     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:47     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:48     1000    102881    0.00    1.00    0.00    0.00    1.00    18  daemon
23:43:49     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:50     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:51     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:52     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:53     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:54     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:55     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:56     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
23:43:57     1000    102881    0.00    0.00    0.00    0.00    0.00    18  daemon
Average:     1000    102881    0.00    0.08    0.00    0.00    0.08     -  daemon
