Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:38:09      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:38:10     1000     87942    1.00    0.00    1.00    0.00    2.00     6  qemu-system-x86
23:38:11     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:38:12     1000     87942    2.00    0.00    0.00    0.00    2.00     4  qemu-system-x86
23:38:13     1000     87942    1.00    0.00    0.00    0.00    1.00    15  qemu-system-x86
23:38:14     1000     87942    1.00    0.00    0.00    0.00    1.00    13  qemu-system-x86
23:38:15     1000     87942    2.00    0.00    0.00    0.00    2.00     0  qemu-system-x86
23:38:16     1000     87942    0.00    0.00    1.00    0.00    1.00    17  qemu-system-x86
23:38:17     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:38:18     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:38:19     1000     87942    2.00    0.00    0.00    0.00    2.00    17  qemu-system-x86
23:38:20     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:38:21     1000     87942    1.00    1.00    0.00    0.00    2.00    17  qemu-system-x86
23:38:22     1000     87942    1.00    0.00    0.00    0.00    1.00    13  qemu-system-x86
Average:     1000     87942    1.15    0.08    0.15    0.00    1.38     -  qemu-system-x86
